Semester,AcademicCareer,College,Department,CourseSubject,CourseCode,CourseID,ClassSection,CourseDescription,CourseLongDescription,ActualEnrolment,ActualWaiting,EnrolmentCapacity,FacultyName,FacilityID,FromTime,ToTime,DurationInMinutes,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,86,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",4,0,20,Fatemah A ALBader,N3-101B,12:00:00,12:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,201,ACCT201,88,Fundamentals of Financial Acct,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon how the accountant processes and presents the information and include exposure to recording transactions, adjusting balances and preparing financial statements for service and merchandise firms according to established rules and procedures. The course also examines major elements of the statements such as cash, receivables, inventory, long-term assets and current liabilities.",0,0,20,Mahmoud Daoud Nassar,W4-002,09:30:00,10:50:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,211,ACCT211,83,Managerial Accounting,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon basic principles, concepts and controls in relation to internal reporting and decision making. The course introduces a business management approach to the development and use of accounting information. Major topics include: cost behavior, cost volume profit analysis profit planning and budgeting, standard costs and variance analysis, segment reporting and transfer pricing, relevant costs, capital budgeting, and the cash budget.",15,0,20,Rasha Mohammed AlLusi,N5-102,14:00:00,15:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,211,ACCT211,86,Managerial Accounting,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon basic principles, concepts and controls in relation to internal reporting and decision making. The course introduces a business management approach to the development and use of accounting information. Major topics include: cost behavior, cost volume profit analysis profit planning and budgeting, standard costs and variance analysis, segment reporting and transfer pricing, relevant costs, capital budgeting, and the cash budget.",4,0,20,Mai S Shuaib,N6-201,11:00:00,12:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,211,ACCT211,87,Managerial Accounting,"A foundation course designed to provide a basic understanding of the theory and practice of accounting, with emphasis upon basic principles, concepts and controls in relation to internal reporting and decision making. The course introduces a business management approach to the development and use of accounting information. Major topics include: cost behavior, cost volume profit analysis profit planning and budgeting, standard costs and variance analysis, segment reporting and transfer pricing, relevant costs, capital budgeting, and the cash budget.",0,0,20,Mohammed   Hossain,N5-104,17:00:00,17:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,301,ACCT301,81,Intermediate Accounting I,"This is the first of three in-depth financial accounting courses. In this course the theory, the conceptual framework, the development of generally accepted accounting principles (IFRS), and by solving appropriate problems the applications of IFRS are stressed. The course provides a comprehensive review of the accounting process that was initially discussed in Financial Accounting and expanded on in this course. Topics include the comprehensive income statement, the statement of cash flows with emphasis on conversion of accrual basis of income to cash basis, and the balance sheet. Other topics covered in this course include, accounting and the time value of money, cash and receivables, and valuation of inventories.",1,0,20,Mahmoud Daoud Nassar,N4-001,16:00:00,16:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,305,ACCT305,83,Accounting For Islamic Financi,"This course discusses various technical aspects related to the business activities of the Islamic Financial Institutions including Islamic Banks, Islamic Investment Companies, Islamic Investment Funds, Takaful Insurance Companies. These aspects include regulations and technical processes, how these institutions are managing their assets and liabilities, how to read financial statements and how they treat risk within the context of the share’ah rulings. The course also provides an overview of financial accounting within the framework of Islamic thought. It will cover financial accounting in Islamic institutions with an emphasis on the additional financial reporting required of Islamic banks and financial institutions.",0,0,20,Ahmed Abdelaziz Hassanein,N4-004,09:00:00,09:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,311,ACCT311,82,Cost Accounting,"The course is designed to provide in great depth and detail the important aspects of cost accounting. It introduces the concepts, techniques and analytical procedures necessary for the generation of cost information and its uses in planning, control and decision-making. Main topics include: a study of cost terms, concepts, and classifications, job-costing systems, process-costing systems, and activity based costing, cost behavior: analysis and use, variable costing vs. absorption costing, flexible budgets and overhead analysis, and the allocation process of support departments and joint cost.",4,0,20,Mahmoud Daoud Nassar,W4-101,08:00:00,09:20:00,80,N,Y,N,Y,N,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,311,ACCT311,83,Cost Accounting,"The course is designed to provide in great depth and detail the important aspects of cost accounting. It introduces the concepts, techniques and analytical procedures necessary for the generation of cost information and its uses in planning, control and decision-making. Main topics include: a study of cost terms, concepts, and classifications, job-costing systems, process-costing systems, and activity based costing, cost behavior: analysis and use, variable costing vs. absorption costing, flexible budgets and overhead analysis, and the allocation process of support departments and joint cost.",0,0,20,Fatemah A ALBader,N5-201,15:00:00,15:50:00,50,Y,N,Y,N,Y,N,N
2501,UGRD,CBA,Dept of Accounting,ACCT,313,ACCT313,81,Accounting Information Systems,This course is designed to provide students with an understanding of how information systems are used in accounting and how they can be used to support decision-making in organizations. The course also incorporates a practical component using an integrated accounting software package.,20,0,20,Rasha Mohammed AlLusi,W3-201,11:00:00,12:20:00,80,N,Y,N,Y,N,N,N
