Course_ID,ACAD_GROUP,SUBJECT,CATALOG_NBR,Major,COURSE_TITLE,REQUISITES,AREA_OF_STUDY,COURSE_OF_STUDY,Credits,DEPTNAME,Course_Level,Condition,Condition_Explanation,REQUISITES_LIST
MCM103,CAS,MCM,103,ACCOUNTING,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,INTL BUSIN,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,MANAGEMENT,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,COMSCIENCE,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,COMPENG,Introduction to Mass Media,ENGL 100 / 110 / 112,NA,N,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,ELECENG,Introduction to Mass Media,ENGL 100 / 110 / 112,NA,N,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,MGMTENG,Introduction to Mass Media,ENGL 100 / 110 / 112,NA,N,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,ENGLISH,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,LINGUISTIC,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
MCM103,CAS,MCM,103,LITERATURE,Introduction to Mass Media,ENGL 100 / 110 / 112,GE,E,3,Dept of Mass Comm & Multimedia,1,OR,1- Any one of the specified prerequisites must be taken.,"['ENGL100','ENGL110','ENGL112']"
