Student_ID,Major,AREA_OF_STUDY,Required_Courses,Total_Taken_Courses,Remaining_Courses,Student_Progress
STU0015,Accounting,GE,14,10,4,71.42857142857143
STU0015,Accounting,MR,7,2,5,28.57142857142857
STU0015,Accounting,ME,5,0,5,0
STU0015,Accounting,EB,0,0,0,0
STU0015,Accounting,CR,11,7,4,63.63636363636363
STU0015,Accounting,FE,3,0,3,0
STU0015,Accounting,MFU,0,2,0,100
STU0015,Accounting,EFU,0,1,0,100
STU0036,Accounting,GE,14,14,0,100
STU0036,Accounting,MR,7,3,4,42.857142857142854
STU0036,Accounting,ME,5,1,4,20
STU0036,Accounting,EB,0,0,0,0
STU0036,Accounting,CR,11,5,6,45.45454545454545
STU0036,Accounting,FE,3,0,3,0
STU0036,Accounting,MFU,0,2,0,100
STU0036,Accounting,EFU,0,1,0,100
STU0033,Accounting,GE,14,17,0,100
STU0033,Accounting,MR,7,1,6,14.285714285714285
STU0033,Accounting,ME,5,1,4,20
STU0033,Accounting,EB,0,0,0,0
STU0033,Accounting,CR,11,7,4,63.63636363636363
STU0033,Accounting,FE,3,0,3,0
STU0033,Accounting,MFU,0,2,0,100
STU0033,Accounting,EFU,0,1,0,100
STU0002,International Business,GE,14,14,0,100
STU0002,International Business,MR,7,5,2,71.42857142857143
STU0002,International Business,ME,5,4,1,80
STU0002,International Business,EB,0,0,0,0
STU0002,International Business,CR,11,8,3,72.72727272727273
STU0002,International Business,FE,3,0,3,0
STU0002,International Business,MFU,0,2,0,100
STU0002,International Business,EFU,0,0,0,0
STU0018,International Business,GE,14,17,0,100
STU0018,International Business,MR,7,4,3,57.14285714285714
STU0018,International Business,ME,5,5,0,100
STU0018,International Business,EB,0,0,0,0
STU0018,International Business,CR,11,11,0,100
STU0018,International Business,FE,3,0,3,0
STU0018,International Business,MFU,0,2,0,100
STU0018,International Business,EFU,0,1,0,100
STU0008,International Business,GE,14,11,3,78.57142857142857
STU0008,International Business,MR,7,0,7,0
STU0008,International Business,ME,5,0,5,0
STU0008,International Business,EB,0,0,0,0
STU0008,International Business,CR,11,3,8,27.27272727272727
STU0008,International Business,FE,3,0,3,0
STU0008,International Business,MFU,0,2,0,100
STU0008,International Business,EFU,0,1,0,100
STU0003,Mgmt & Organizational Behavior,GE,14,6,8,42.857142857142854
STU0003,Mgmt & Organizational Behavior,MR,7,1,6,14.285714285714285
STU0003,Mgmt & Organizational Behavior,ME,5,2,3,40
STU0003,Mgmt & Organizational Behavior,EB,0,0,0,0
STU0003,Mgmt & Organizational Behavior,CR,11,2,9,18.181818181818183
STU0003,Mgmt & Organizational Behavior,FE,3,0,3,0
STU0003,Mgmt & Organizational Behavior,MFU,0,0,0,0
STU0003,Mgmt & Organizational Behavior,EFU,0,1,0,100
STU0020,Mgmt & Organizational Behavior,GE,14,21,0,100
STU0020,Mgmt & Organizational Behavior,MR,7,7,0,100
STU0020,Mgmt & Organizational Behavior,ME,5,5,0,100
STU0020,Mgmt & Organizational Behavior,EB,0,0,0,0
STU0020,Mgmt & Organizational Behavior,CR,11,9,2,81.81818181818183
STU0020,Mgmt & Organizational Behavior,FE,3,0,3,0
STU0020,Mgmt & Organizational Behavior,MFU,0,0,0,0
STU0020,Mgmt & Organizational Behavior,EFU,0,1,0,100
STU0009,Mgmt & Organizational Behavior,GE,14,12,2,85.71428571428571
STU0009,Mgmt & Organizational Behavior,MR,7,7,0,100
STU0009,Mgmt & Organizational Behavior,ME,5,4,1,80
STU0009,Mgmt & Organizational Behavior,EB,0,0,0,0
STU0009,Mgmt & Organizational Behavior,CR,11,5,6,45.45454545454545
STU0009,Mgmt & Organizational Behavior,FE,3,0,3,0
STU0009,Mgmt & Organizational Behavior,MFU,0,0,0,0
STU0009,Mgmt & Organizational Behavior,EFU,0,0,0,0
STU0035,Computer Science,GE,16,14,2,87.5
STU0035,Computer Science,MR,20,10,10,50
STU0035,Computer Science,ME,4,0,4,0
STU0035,Computer Science,EB,0,0,0,0
STU0035,Computer Science,CR,0,0,0,0
STU0035,Computer Science,FE,3,0,3,0
STU0035,Computer Science,MFU,0,0,0,0
STU0035,Computer Science,EFU,0,0,0,0
STU0034,Computer Science,GE,16,17,0,100
STU0034,Computer Science,MR,20,8,12,40
STU0034,Computer Science,ME,4,0,4,0
STU0034,Computer Science,EB,0,0,0,0
STU0034,Computer Science,CR,0,0,0,0
STU0034,Computer Science,FE,3,0,3,0
STU0034,Computer Science,MFU,0,1,0,100
STU0034,Computer Science,EFU,0,1,0,100
STU0038,Computer Science,GE,16,20,0,100
STU0038,Computer Science,MR,20,20,0,100
STU0038,Computer Science,ME,4,3,1,75
STU0038,Computer Science,EB,0,0,0,0
STU0038,Computer Science,CR,0,0,0,0
STU0038,Computer Science,FE,3,0,3,0
STU0038,Computer Science,MFU,0,1,0,100
STU0038,Computer Science,EFU,0,0,0,0
STU0025,Computer Engineering,GE,22,17,5,77.27272727272727
STU0025,Computer Engineering,MR,21,3,18,14.285714285714285
STU0025,Computer Engineering,ME,3,0,3,0
STU0025,Computer Engineering,EB,6,4,2,66.66666666666666
STU0025,Computer Engineering,CR,0,0,0,0
STU0025,Computer Engineering,FE,0,0,0,0
STU0025,Computer Engineering,MFU,0,2,0,100
STU0025,Computer Engineering,EFU,0,0,0,0
STU0023,Computer Engineering,GE,22,18,4,81.81818181818183
STU0023,Computer Engineering,MR,21,1,20,4.761904761904762
STU0023,Computer Engineering,ME,3,0,3,0
